RPM, boost, power, torque, temperature, compressorEfficiency, volumetricEfficiency
1900,8.3,62,170,196,0.606,0.947
2000,9.1,65,172,204,0.611,0.949
2100,9.3,69,173,205,0.620,0.951
2200,9.5,73,175,205,0.628,0.953
2300,9.7,77,176,206,0.636,0.955
2400,9.9,81,178,206,0.644,0.957
2500,10.1,86,180,206,0.653,0.962
2600,10.4,91,183,208,0.661,0.968
2700,10.7,96,186,210,0.671,0.975
2800,11.0,101,190,211,0.682,0.983
2900,11.3,107,194,211,0.695,0.992
3000,11.6,113,198,211,0.710,1.001
3100,11.7,118,200,209,0.725,1.009
3200,11.7,123,203,208,0.734,1.015
3300,11.8,128,203,208,0.737,1.014
3400,11.8,132,203,208,0.741,1.013
3500,11.9,136,204,208,0.744,1.012
3600,12.0,140,204,208,0.748,1.011
3700,12.2,145,206,208,0.754,1.015
3800,12.3,150,208,208,0.760,1.020
3900,12.4,156,210,209,0.761,1.024
4000,12.5,161,211,210,0.762,1.028
4100,12.5,164,210,210,0.762,1.023
4200,12.5,167,209,210,0.763,1.018
4300,12.5,170,208,210,0.764,1.013
4400,12.5,174,207,210,0.764,1.008
4500,12.5,176,205,210,0.765,0.999
4600,12.5,178,204,210,0.765,0.990
4700,12.5,181,202,210,0.765,0.982
4800,12.5,183,200,210,0.764,0.973
4900,12.5,186,199,210,0.762,0.968
5000,12.5,188,198,210,0.760,0.963
5100,12.4,191,196,210,0.758,0.959
5200,12.3,193,195,209,0.756,0.955
5300,12.2,195,194,208,0.753,0.953
5400,12.0,198,193,208,0.750,0.951
5500,11.9,201,192,207,0.748,0.949
5600,11.8,203,191,207,0.745,0.947
5700,11.8,206,189,207,0.743,0.943
5800,11.7,208,188,207,0.741,0.938
5900,11.7,210,187,207,0.738,0.934
6000,11.6,212,186,207,0.732,0.930
6100,11.5,214,184,207,0.727,0.925
6200,11.4,215,182,207,0.722,0.920
6300,11.2,216,180,206,0.717,0.914
6400,11.1,217,178,206,0.713,0.907
6500,11.0,215,173,204,0.715,0.887
6600,10.5,213,170,201,0.707,0.879
6700,10.0,213,167,198,0.697,0.878
6800,9.5,213,164,194,0.688,0.876
6900,9.0,204,156,188,0.693,0.842
7000,8.5,200,150,183,0.688,0.824
7100,8.0,200,148,179,0.677,0.820
7200,7.5,199,145,175,0.667,0.818
7300,7.0,191,137,170,0.663,0.788
7400,6.5,184,130,164,0.662,0.759
