RPM, boost, power, torque, temperature, compressorEfficiency, volumetricEfficiency
1800,10.7,60,176,235,0.568,0.950
1900,10.8,64,176,233,0.577,0.950
2000,10.9,67,177,231,0.587,0.950
2100,11.1,72,179,231,0.597,0.952
2200,11.3,76,181,231,0.607,0.955
2300,11.6,80,183,231,0.616,0.958
2400,11.8,85,185,232,0.625,0.960
2500,12.0,89,188,232,0.634,0.966
2600,12.3,95,191,232,0.644,0.974
2700,12.5,100,195,232,0.655,0.984
2800,12.8,106,199,232,0.667,0.995
2900,13.0,111,202,232,0.678,0.998
3000,13.3,116,204,232,0.688,1.000
3100,13.5,121,205,231,0.699,1.000
3200,13.7,126,207,231,0.706,1.000
3300,13.8,131,208,231,0.713,1.000
3400,14.0,136,209,232,0.720,1.000
3500,14.2,140,211,232,0.728,1.000
3600,14.3,145,212,231,0.736,1.000
3700,14.4,151,214,230,0.744,1.004
3800,14.6,156,216,231,0.746,1.007
3900,14.7,161,217,231,0.748,1.011
4000,14.8,166,218,232,0.751,1.014
4100,14.8,170,218,232,0.753,1.009
4200,14.9,174,217,232,0.756,1.005
4300,14.9,177,217,231,0.758,1.001
4400,15.0,181,216,231,0.760,0.998
4500,15.0,184,214,232,0.760,0.987
4600,15.0,186,212,232,0.760,0.976
4700,15.0,187,209,232,0.760,0.965
4800,15.0,189,207,232,0.760,0.954
4900,15.0,193,207,232,0.760,0.953
5000,15.0,197,207,232,0.760,0.952
5100,15.0,200,206,231,0.760,0.951
5200,15.0,204,206,231,0.760,0.950
5300,14.9,208,206,231,0.760,0.949
5400,14.9,211,205,231,0.759,0.948
5500,14.9,215,205,232,0.756,0.947
5600,14.9,218,204,232,0.752,0.945
5700,14.8,219,201,232,0.752,0.934
5800,14.8,220,199,232,0.751,0.922
5900,14.7,220,196,232,0.750,0.911
6000,14.7,221,194,231,0.749,0.900
6100,14.7,222,191,231,0.748,0.888
6200,14.7,222,188,232,0.748,0.875
6300,14.7,222,185,232,0.748,0.863
6400,14.7,223,183,232,0.747,0.850
6500,14.7,223,180,232,0.747,0.838
6600,14.6,222,177,231,0.747,0.825
6700,14.6,222,174,230,0.748,0.813
6800,14.5,222,171,230,0.748,0.800
6900,14.4,217,166,228,0.752,0.775
7000,14.4,213,160,227,0.756,0.750
7100,14.3,209,155,226,0.759,0.725
7200,14.2,205,149,225,0.759,0.700
7300,14.1,200,144,224,0.760,0.675
7400,14.1,195,138,224,0.761,0.650
