RPM, boost, power, torque, temperature, compressorEfficiency, volumetricEfficiency
1900,8.3,68,189,196,0.606,0.947
2000,9.1,73,191,204,0.611,0.949
2100,9.3,77,192,205,0.620,0.951
2200,9.5,81,194,205,0.628,0.953
2300,9.7,86,196,206,0.636,0.955
2400,9.9,90,198,206,0.644,0.957
2500,10.1,95,200,206,0.653,0.962
2600,10.4,101,204,208,0.661,0.968
2700,10.7,106,207,210,0.671,0.975
2800,11.0,112,211,211,0.682,0.983
2900,11.3,119,215,211,0.695,0.992
3000,11.6,125,219,211,0.710,1.001
3100,11.7,131,222,209,0.725,1.009
3200,11.7,137,225,208,0.734,1.015
3300,11.8,142,226,208,0.737,1.014
3400,11.8,146,226,208,0.741,1.013
3500,11.9,151,226,208,0.744,1.012
3600,12.0,156,227,208,0.748,1.011
3700,12.2,161,229,208,0.754,1.015
3800,12.3,167,231,208,0.760,1.020
3900,12.4,173,233,209,0.761,1.024
4000,12.5,179,235,210,0.762,1.028
4100,12.5,182,234,210,0.762,1.023
4200,12.5,186,232,210,0.763,1.018
4300,12.5,189,231,210,0.764,1.013
4400,12.5,193,230,210,0.764,1.008
4500,12.5,195,228,210,0.765,0.999
4600,12.5,198,226,210,0.765,0.990
4700,12.5,201,224,210,0.765,0.982
4800,12.5,203,222,210,0.764,0.973
4900,12.5,206,221,210,0.762,0.968
5000,12.5,209,220,210,0.760,0.963
5100,12.4,212,218,210,0.758,0.959
5200,12.3,214,216,209,0.756,0.955
5300,12.2,217,215,208,0.753,0.953
5400,12.0,220,214,208,0.750,0.951
5500,11.9,223,213,207,0.748,0.949
5600,11.8,226,212,207,0.745,0.947
5700,11.8,228,210,207,0.743,0.943
5800,11.7,231,209,207,0.741,0.938
5900,11.7,233,208,207,0.738,0.934
6000,11.6,236,206,207,0.732,0.930
6100,11.5,237,204,207,0.727,0.925
6200,11.4,239,202,207,0.722,0.920
6300,11.2,240,200,206,0.717,0.914
6400,11.1,241,198,206,0.713,0.907
6500,11.0,238,193,204,0.715,0.887
6600,10.5,237,189,201,0.707,0.879
6700,10.0,237,186,198,0.697,0.878
6800,9.5,236,182,194,0.688,0.876
6900,9.0,227,173,188,0.693,0.842
7000,8.5,223,167,183,0.688,0.824
7100,8.0,222,164,179,0.677,0.820
7200,7.5,221,161,175,0.667,0.818
7300,7.0,212,153,170,0.663,0.788
7400,6.5,204,145,164,0.662,0.759
